gauge_id,mean_m3s,rho_vs_gauge_gu,n_days_gu,rho_vs_gauge_deyr,n_days_deyr
hybas_1121039440,141.8,0.857,774,0.55,709
hybas_1122046190,141.1,0.855,774,0.552,709
hybas_1121037840,102.0,0.849,774,0.624,709
hybas_1121038680,101.1,0.855,774,0.628,709
hybas_1121038740,31.2,0.831,774,0.589,709
